id,name,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
145209,b'404: Law Not Found',b'2013',b'2',b'6',b'60',b'107',b'5.94234',b'5.51808',b'12',b'2.3333'
26459,b'PQ-17: Arctic Naval Operations 1941-1943',b'2009',b'2',b'2',b'210',b'189',b'7.27607',b'5.6943',b'40',b'4.075'
65557,"b""Order's Up!""",b'2010',b'2',b'6',b'15',b'60',b'5.43',b'5.49838',b'2',b'1'
24000,b'Monopoly: Nintendo',b'2006',b'2',b'6',b'60',b'256',b'4.9777',b'5.41087',b'12',b'1.75'
145599,b'Journey: Wrath of Demons',b'2015',b'1',b'4',b'75',b'197',b'6.99365',b'5.65166',b'16',b'2.9375'
129904,b'Shadows over Camelot: The Card Game',b'2012',b'1',b'7',b'20',b'1099',b'5.74755',b'5.60506',b'68',b'1.9118'
166390,b'Moscow to Paris',b'2014',b'2',b'4',b'30',b'32',b'5.66406',b'5.50206',b'0',b'0'
119856,b'Button Up!',b'2012',b'2',b'2',b'15',b'142',b'5.60035',b'5.50572',b'15',b'1.1333'
96564,b'Engage',b'2011',b'2',b'2',b'90',b'37',b'7.07297',b'5.52904',b'6',b'3'
175755,b'The Lord of the Rings: Journey to Mordor',b'2015',b'2',b'4',b'20',b'633',b'6.11088',b'5.65653',b'38',b'1.5526'
142205,b'Ronin: Skirmish Wargames in the Age of the Samurai',b'2013',b'2',b'2',b'0',b'56',b'7.175',b'5.5587',b'4',b'2.25'
187056,b'Siege of the Citadel',b'2019',b'1',b'8',b'180',b'114',b'8.00263',b'5.61109',b'5',b'2.2'
136085,b'Die verzauberten Rumpelriesen',b'2013',b'2',b'4',b'20',b'51',b'6.65196',b'5.54336',b'8',b'1'
69130,b'Next War: Korea',b'2012',b'2',b'2',b'480',b'203',b'8.08744',b'5.78525',b'35',b'4.2'
99880,b'Drop Site',b'2011',b'2',b'4',b'40',b'71',b'6.23042',b'5.52514',b'7',b'1.5714'
35035,b'World at War: Blood and Bridges',b'2008',b'2',b'2',b'90',b'379',b'7.61972',b'5.91617',b'69',b'2.7536'
87890,b'Prt--Porter',b'2010',b'2',b'4',b'90',b'2157',b'7.37221',b'6.63018',b'170',b'3.6118'
127436,b'Der Hobbit: Eine unerwartete Reise  Das Spiel zum Film',b'2012',b'2',b'4',b'60',b'201',b'5.74254',b'5.51864',b'22',b'1.7727'
128931,b'Noblemen',b'2012',b'3',b'5',b'120',b'1060',b'6.94426',b'6.13882',b'96',b'3.0729'
171226,b'Starfighter',b'2015',b'2',b'2',b'30',b'558',b'6.88049',b'5.89087',b'27',b'2.8519'
11616,b'Monopoly: Spider-Man',b'2002',b'2',b'6',b'120',b'51',b'4.96078',b'5.48077',b'2',b'1.5'
130725,b'Jackal & High',b'2012',b'2',b'5',b'20',b'147',b'5.96682',b'5.53881',b'18',b'1.1667'
186375,b'Tokaido Deluxe Edition',b'2015',b'2',b'5',b'45',b'697',b'7.87176',b'6.25752',b'15',b'1.6'
2312,b'Ringgeister',b'1992',b'2',b'4',b'120',b'176',b'4.9929',b'5.43282',b'13',b'2.1538'
6787,b'Deutschlandreise',b'1935',b'2',b'6',b'45',b'190',b'4.41526',b'5.36131',b'25',b'1.2'
14410,"b'Oh No, There Goes Tokyo!'",b'2002',b'2',b'4',b'120',b'66',b'6.64591',b'5.53898',b'15',b'2.1333'
2125,b'Amazons',b'1992',b'2',b'2',b'30',b'278',b'7.13453',b'5.76601',b'27',b'2.963'
88827,b'Battle Cry: 150th Civil War Anniversary Edition',b'2010',b'2',b'2',b'45',b'1081',b'7.62555',b'6.40437',b'94',b'2.0745'
144567,b'For the Crown (Second edition)',b'2012',b'2',b'2',b'60',b'240',b'7.34529',b'5.76864',b'14',b'3.2143'
4959,b'Crusader',b'1997',b'2',b'4',b'180',b'140',b'6.52179',b'5.58917',b'28',b'2.4643'
137649,b'Level 7 [Omega Protocol]',b'2013',b'2',b'6',b'90',b'1839',b'7.49759',b'6.62944',b'91',b'3.0879'
149639,b'Noble Treachery: The Last Alliance',b'2014',b'4',b'6',b'45',b'154',b'6.80586',b'5.59708',b'22',b'2.1364'
4598,b'Word Rummikub',b'1983',b'2',b'4',b'30',b'147',b'5.45565',b'5.49028',b'10',b'2.1'
54043,b'Jaipur',b'2009',b'2',b'2',b'30',b'31153',b'7.5166',b'7.40003',b'1232',b'1.5049'
5701,b'Dark Blades',b'1986',b'2',b'8',b'120',b'58',b'6.59828',b'5.5457',b'7',b'2.5714'
147920,b'Das Labyrinth des Pharao',b'2013',b'1',b'5',b'40',b'74',b'6.49865',b'5.55131',b'9',b'1.7778'
185,b'Devil Bunny Needs a Ham',b'1998',b'2',b'5',b'30',b'694',b'5.41037',b'5.44721',b'72',b'1.1667'
119193,b'Crazy Creatures of Dr. Doom',b'2012',b'2',b'4',b'20',b'438',b'5.62189',b'5.52125',b'21',b'1.1905'
175695,b'Minerva',b'2015',b'1',b'4',b'90',b'692',b'6.95974',b'5.99478',b'29',b'2.7586'
3110,b'Dragon Rage',b'1982',b'2',b'2',b'120',b'163',b'6.94699',b'5.64908',b'24',b'2.7083'
36400,b'The Guns of Gettysburg',b'2013',b'2',b'4',b'180',b'577',b'7.82125',b'6.16161',b'89',b'3.7191'
65282,b'Tanto Cuore',b'2009',b'2',b'4',b'45',b'1780',b'6.88801',b'6.22479',b'109',b'2.1743'
155703,b'Evolution',b'2014',b'2',b'6',b'60',b'11905',b'7.17579',b'6.96391',b'482',b'2.4357'
155822,b'Krosmaster Junior',b'2014',b'2',b'4',b'15',b'235',b'6.06936',b'5.57498',b'5',b'1'
173805,b'Lobotomy',b'2017',b'1',b'5',b'180',b'527',b'7.36553',b'5.89515',b'24',b'3.3333'
14705,b'Totally Gross',b'2002',b'2',b'4',b'0',b'50',b'4.59202',b'5.46746',b'5',b'1.4'
153486,b'Age of Assassins',b'2013',b'3',b'4',b'30',b'42',b'6.65476',b'5.53603',b'3',b'2'
32154,b'Down Under',b'2007',b'2',b'4',b'30',b'221',b'5.6124',b'5.51368',b'27',b'1.8148'
3985,b'Crisis: Korea 1995',b'1992',b'2',b'4',b'360',b'75',b'6.98267',b'5.5698',b'6',b'4.3333'
18895,b'Monopoly: 70th Anniversary Edition',b'2005',b'2',b'8',b'180',b'191',b'5.42696',b'5.48473',b'21',b'1.9524'
176606,"b'Rattle, Battle, Grab the Loot'",b'2015',b'2',b'5',b'60',b'907',b'6.24495',b'5.76839',b'28',b'2.4643'
175846,b'Deck Building: The Deck Building Game',b'2015',b'2',b'2',b'20',b'367',b'5.44943',b'5.49123',b'17',b'1.3529'
5864,b'The Flight of the Goeben',b'1970',b'2',b'2',b'90',b'44',b'7.375',b'5.55353',b'6',b'2.8333'
171721,b'Micro Rome',b'2014',b'1',b'1',b'30',b'59',b'6.94915',b'5.55629',b'5',b'1.4'
14007,b'The Siege of Alesia',b'2005',b'2',b'2',b'300',b'171',b'6.98713',b'5.65481',b'47',b'3.1702'
155484,b'Cheesonomics',b'2014',b'2',b'5',b'20',b'57',b'6.08333',b'5.52335',b'3',b'1.6667'
525,b'Pisa',b'1999',b'3',b'5',b'45',b'113',b'6.28274',b'5.56251',b'4',b'1.75'
5460,b'The Deck of Dice',b'1997',b'2',b'4',b'30',b'43',b'6.23721',b'5.51503',b'6',b'1.1667'
30179,b'Inside',b'2007',b'2',b'2',b'10',b'178',b'6.47353',b'5.6086',b'13',b'1.9231'
160409,b'Too Many Cinderellas',b'2014',b'2',b'4',b'10',b'526',b'6.41815',b'5.75368',b'29',b'1.2759'
2342,b'Mystery Mansion',b'1984',b'3',b'4',b'90',b'326',b'6.07071',b'5.58285',b'21',b'1.9048'
19120,b'High Stakes Drifter',b'2005',b'2',b'8',b'90',b'106',b'5.49877',b'5.49151',b'21',b'2.0952'
19643,b'World of Warcraft Trading Card Game',b'2006',b'2',b'2',b'20',b'1810',b'6.70246',b'6.12315',b'170',b'2.5706'
27736,b'Dead of Night',b'2007',b'1',b'6',b'90',b'127',b'6.94134',b'5.60398',b'27',b'2.2222'
40237,b'Long Shot',b'2009',b'3',b'8',b'60',b'2043',b'6.73027',b'6.22847',b'191',b'1.7487'
61902,b'Disney Apples to Apples',b'2009',b'4',b'8',b'15',b'189',b'5.72626',b'5.51302',b'5',b'1'
7118,b'Ace of Aces: Handy Rotary Deluxe Edition',b'1986',b'2',b'2',b'20',b'306',b'7.12543',b'5.78406',b'42',b'1.8333'
8690,b'Buzzword',b'2003',b'4',b'12',b'45',b'595',b'5.73911',b'5.57371',b'42',b'1.1905'
29860,b'Bataan!',b'2010',b'1',b'2',b'0',b'58',b'7.72393',b'5.57711',b'15',b'3.8667'
5941,b'Mermaid Rain',b'2003',b'3',b'6',b'45',b'379',b'6.23839',b'5.65329',b'20',b'2.2'
9104,b'The Three Days of Gettysburg (second edition)',b'2000',b'2',b'2',b'360',b'65',b'7.1958',b'5.57249',b'14',b'4.1429'
8450,b'Hector and Achilles',b'2003',b'2',b'2',b'30',b'466',b'5.43917',b'5.48057',b'55',b'1.8364'
144270,b'Relic Runners',b'2013',b'2',b'5',b'80',b'2051',b'6.64614',b'6.1777',b'96',b'2.1146'
19115,b'Dead Money',b'2006',b'3',b'6',b'20',b'169',b'5.4632',b'5.49132',b'22',b'1.4091'
345,b'Prairie Railroads',b'1999',b'3',b'5',b'120',b'44',b'6.98864',b'5.54495',b'6',b'3'
39180,b'Wordquest',b'2009',b'2',b'4',b'30',b'133',b'5.55564',b'5.49748',b'4',b'1'
49396,b'Battleground Fantasy Warfare: Elves of Ravenwood',b'2006',b'2',b'2',b'60',b'55',b'7.10545',b'5.56171',b'5',b'2.8'
9209,b'Ticket to Ride',b'2004',b'2',b'5',b'60',b'64214',b'7.43639',b'7.33154',b'4362',b'1.8586'
154825,b'Arkwright',b'2014',b'2',b'4',b'240',b'1737',b'7.90433',b'6.84825',b'201',b'4.5622'
107861,b'Warriors & Traders',b'2011',b'2',b'6',b'120',b'314',b'6.2207',b'5.62212',b'38',b'2.9737'
4620,b'The Prestel New York Architecture Game',b'2002',b'2',b'5',b'30',b'55',b'6.076',b'5.52075',b'8',b'1.125'
202207,b'Virulence: An Infectious Card Game',b'2016',b'2',b'5',b'20',b'219',b'6.72753',b'5.65935',b'10',b'1.6'
180938,b'La Glace et le Ciel',b'2015',b'2',b'4',b'20',b'114',b'6.67702',b'5.58741',b'4',b'1.5'
94902,b'Dungeons & Dragons Starter Set',b'2008',b'2',b'6',b'60',b'216',b'7.48202',b'5.73862',b'14',b'2.5'
188018,b'Nine Tiles',b'2015',b'2',b'4',b'15',b'192',b'6.48031',b'5.62799',b'9',b'1'
7742,b'Confrontation',b'2000',b'2',b'2',b'120',b'364',b'7.02361',b'5.79813',b'50',b'3.36'
40398,b'Monopoly Deal Card Game',b'2008',b'2',b'5',b'15',b'7644',b'6.26436',b'6.07094',b'475',b'1.3326'
5107,b'Pyramid: Home Game',b'1974',b'3',b'4',b'30',b'112',b'6.03',b'5.53534',b'9',b'1.2222'
2578,b'Phase 10 Dice',b'1993',b'1',b'8',b'30',b'918',b'5.28234',b'5.39658',b'66',b'1.1515'
70262,b'Long Live The Revolution!',b'2010',b'3',b'5',b'10',b'63',b'5.71587',b'5.50959',b'9',b'1.2222'
152955,b'DogFight WW1',b'2013',b'2',b'2',b'30',b'91',b'3.56041',b'5.36896',b'5',b'1'
150599,b'Takara Island',b'2011',b'2',b'6',b'45',b'134',b'5.97239',b'5.53587',b'7',b'1.7143'
88088,b'Cranium: Disney Family Edition',b'2010',b'4',b'16',b'40',b'50',b'5.668',b'5.50658',b'1',b'1'
1444,b'SPQR',b'1992',b'2',b'2',b'240',b'459',b'7.36065',b'5.96131',b'65',b'3.7077'
406,b'Meteo',b'1989',b'2',b'4',b'90',b'96',b'5.48073',b'5.4976',b'10',b'2.3'
4345,b'Beer: The  Card Game',b'1999',b'2',b'4',b'30',b'44',b'4.20455',b'5.45583',b'2',b'1'
120605,b'Neuroshima: Convoy',b'2012',b'2',b'2',b'40',b'918',b'6.76708',b'5.98928',b'48',b'2.5833'
29489,b'Tai Chi Chuan',b'2007',b'3',b'5',b'30',b'53',b'6.00566',b'5.51792',b'4',b'1'
38886,b'Boot Hill',b'1975',b'2',b'0',b'180',b'79',b'6.43165',b'5.54262',b'13',b'2.2308'
