id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
173004,boardgame,b'Harriers in action',b'2004',b'2',b'6',b'60',b'30',b'60',b'10',b'6',b'7.75',b'0',b'9',b'0',b'1',b'1',b'4',b'5',b'3.4'
2094,boardgame,b'4 First Games',b'1974',b'2',b'6',b'15',b'10',b'15',b'3',b'85',b'4.87176',b'5.45678',b'192',b'2',b'1',b'9',b'55',b'9',b'1'
30655,boardgame,b'Magicians',b'2007',b'2',b'4',b'20',b'20',b'20',b'0',b'6',b'6.41667',b'0',b'7',b'0',b'0',b'4',b'2',b'4',b'2'
103235,boardgame,b'Singapore',b'2011',b'3',b'4',b'90',b'90',b'90',b'12',b'375',b'6.14544',b'5.63994',b'544',b'37',b'28',b'104',b'134',b'25',b'2.6'
129418,boardgame,b'Bacchanalia',b'2012',b'3',b'6',b'120',b'120',b'120',b'18',b'17',b'6.14706',b'0',b'62',b'7',b'5',b'19',b'8',b'2',b'1.5'
2637,boardgame,b'Rome At War I: Hannibal at Bay',b'2000',b'2',b'2',b'120',b'120',b'120',b'12',b'111',b'5.46351',b'5.49359',b'355',b'17',b'9',b'15',b'62',b'18',b'2.1667'
170423,boardgame,"b""Comment j'ai adopt un gnou""",b'2014',b'3',b'8',b'15',b'15',b'15',b'8',b'33',b'6.47091',b'5.52396',b'76',b'4',b'2',b'5',b'8',b'1',b'1'
13524,boardgame,b'MASK: Raid and Rescue Game',b'1985',b'2',b'4',b'30',b'30',b'30',b'6',b'14',b'4.42857',b'0',b'55',b'5',b'3',b'10',b'7',b'3',b'1.3333'
33197,boardgame,b'Trybiki',b'2008',b'2',b'2',b'20',b'20',b'20',b'0',b'28',b'4.42857',b'0',b'28',b'0',b'0',b'4',b'5',b'8',b'1.875'
11780,boardgame,b'ASG Baseball',b'1973',b'1',b'2',b'30',b'30',b'30',b'10',b'15',b'6.76667',b'0',b'31',b'0',b'4',b'4',b'8',b'1',b'4'
21067,boardgame,b'Hexes: Hexagonal Chess',b'2003',b'2',b'2',b'45',b'45',b'45',b'10',b'9',b'7.46667',b'0',b'19',b'1',b'3',b'5',b'7',b'1',b'3'
40659,boardgame,b'Mojipittan',b'2007',b'2',b'5',b'15',b'15',b'15',b'3',b'12',b'5.81667',b'0',b'28',b'0',b'1',b'3',b'2',b'1',b'1'
194534,boardgame,b'Awesome Kingdom: Mines & Labyrinths',b'2016',b'2',b'4',b'45',b'30',b'45',b'12',b'27',b'5.90741',b'0',b'131',b'8',b'3',b'21',b'10',b'1',b'3'
12867,boardgame,b'Haunted House',b'1962',b'2',b'4',b'30',b'30',b'30',b'6',b'14',b'6.25',b'0',b'20',b'0',b'22',b'61',b'9',b'1',b'1'
25613,boardgame,b'Through the Ages: A Story of Civilization',b'2006',b'2',b'4',b'120',b'120',b'120',b'12',b'17271',b'7.97185',b'7.77368',b'17017',b'900',b'648',b'4205',b'3926',b'1786',b'4.1702'
164423,boardgame,b'Food Chain',b'2014',b'3',b'6',b'30',b'30',b'30',b'7',b'16',b'6.30625',b'0',b'18',b'2',b'2',b'21',b'8',b'1',b'3'
140600,boardgame,b'Scalawag!',b'2014',b'3',b'8',b'40',b'15',b'40',b'13',b'65',b'6.10138',b'5.52675',b'235',b'25',b'6',b'34',b'22',b'7',b'1.5714'
5421,boardgame,b'Inferno',b'1995',b'2',b'6',b'30',b'30',b'30',b'10',b'24',b'4.71042',b'0',b'32',b'2',b'1',b'2',b'8',b'2',b'1.5'
176548,boardgame,"b""King's Ransom Deluxe""",b'2015',b'2',b'4',b'30',b'30',b'30',b'13',b'13',b'6.17692',b'0',b'39',b'6',b'1',b'7',b'3',b'0',b'0'
140279,boardgame,b'Clacks: A Discworld Board Game',b'2015',b'1',b'4',b'30',b'45',b'30',b'8',b'327',b'6.30138',b'5.65108',b'866',b'12',b'39',b'220',b'81',b'9',b'2.5556'
109764,boardgame,b'Quarantine',b'2013',b'2',b'4',b'60',b'60',b'60',b'13',b'863',b'6.12564',b'5.74323',b'1309',b'120',b'51',b'354',b'270',b'59',b'2.1356'
71889,boardgame,b'Third and Long: The Football Card Game',b'2010',b'2',b'2',b'60',b'60',b'60',b'10',b'53',b'6.52358',b'5.53305',b'113',b'15',b'12',b'19',b'34',b'9',b'2.3333'
