avg_rate,geek_rate,id,num_votes,title
7.21,6.931,183251,7373,Shop
7.22,6.929,91312,8634,Shop
7.30,6.929,143519,5986,Shop
7.10,6.926,171,25565,Shop
7.06,6.925,153938,20334,Shop
7.61,6.924,174785,3083,Shop
8.19,6.921,130960,1626,Shop
7.03,6.921,6249,26363,Shop
7.13,6.918,42215,9829,Shop
7.28,6.915,58281,5949,Shop
7.19,6.914,121408,7233,Shop
8.06,6.914,150997,2045,Shop
7.68,6.913,233312,2863,Shop
7.21,6.913,172308,6921,Shop
7.41,6.912,163166,4279,Shop
7.14,6.911,4390,10461,Shop
7.44,6.911,121288,3971,Shop
7.14,6.910,30869,8765,Shop
7.26,6.910,50750,5684,Shop
7.49,6.909,3307,3433,Shop
7.66,6.908,128780,2584,Shop
7.73,6.906,142379,2382,Shop
7.28,6.906,134726,6147,Shop
7.79,6.905,271896,2639,Shop
7.02,6.901,131357,31547,Shop
7.98,6.900,240196,2087,Shop
7.65,6.899,84419,2717,Shop
7.41,6.898,181521,4506,Shop
7.88,6.898,135219,2069,Shop
8.12,6.897,212445,1819,Shop
7.32,6.895,65532,5073,Shop
7.18,6.895,24508,7261,Shop
7.06,6.895,28023,14659,Shop
7.06,6.894,503,12127,Shop
7.31,6.892,1353,4693,Shop
7.61,6.891,160495,2690,Shop
7.51,6.888,196326,3343,Shop
7.45,6.886,180511,3449,Shop
7.35,6.885,205398,4989,Shop
7.34,6.884,70512,4085,Shop
7.15,6.884,88,8211,Shop
7.96,6.882,266524,2038,Shop
7.30,6.881,126792,4735,Shop
7.86,6.881,586,2079,Shop
7.53,6.881,156858,3171,Shop
7.15,6.881,30380,7649,Shop
7.75,6.878,216734,3060,Shop
7.20,6.878,3201,6319,Shop
7.12,6.878,117959,8185,Shop
7.03,6.878,37904,15810,Shop
7.14,6.877,20963,8802,Shop
7.03,6.876,21763,14092,Shop
7.07,6.876,10547,32808,Shop
7.26,6.872,155624,5113,Shop
7.30,6.870,203416,4309,Shop
7.44,6.869,36235,3524,Shop
7.46,6.867,170561,3330,Shop
7.02,6.866,113294,14569,Shop
7.03,6.866,123540,17634,Shop
7.26,6.865,162007,5139,Shop
7.18,6.864,15364,5947,Shop
7.81,6.862,9823,2241,Shop
8.30,6.861,276025,1363,Shop
7.73,6.861,111799,2177,Shop
7.27,6.861,192457,5224,Shop
7.14,6.860,46,6800,Shop
7.08,6.858,68425,8911,Shop
8.20,6.857,158889,1464,Shop
7.13,6.856,13004,6966,Shop
7.54,6.855,234277,2720,Shop
7.53,6.852,79127,3048,Shop
8.10,6.851,179803,1645,Shop
7.29,6.851,168584,4663,Shop
7.10,6.849,73761,8193,Shop
7.34,6.849,167400,4681,Shop
7.56,6.848,269210,2612,Shop
7.99,6.848,18098,1655,Shop
7.53,6.848,24800,2919,Shop
7.47,6.847,2163,3527,Shop
7.37,6.847,55600,3540,Shop
7.38,6.846,31563,3806,Shop
7.98,6.846,249259,1786,Shop
6.97,6.845,107529,17540,Shop
7.91,6.844,154825,1729,Shop
7.20,6.844,146278,5470,Shop
6.99,6.843,100423,20437,Shop
7.92,6.843,282524,1940,Shop
7.42,6.843,137988,3928,Shop
7.10,6.842,22345,7547,Shop
6.97,6.840,5782,16579,Shop
8.27,6.838,244271,1464,Shop
6.98,6.837,143741,17373,Shop
7.88,6.837,226522,1735,Shop
7.80,6.837,26997,1912,Shop
7.65,6.837,38996,2262,Shop
7.12,6.836,171499,7032,Shop
7.33,6.835,245654,3903,Shop
8.87,6.835,235802,1031,Shop
7.12,6.834,110277,6355,Shop
7.91,6.832,173442,1702,Shop
7.24,6.831,170416,5105,Shop
7.30,6.831,143515,4021,Shop
7.70,6.830,132018,2121,Shop
7.27,6.829,43528,4344,Shop
