id,details.name,attributes.boardgamecategory,attributes.boardgamemechanic,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
10320,Lucky Ducks,"Animals,Children's Game","Pattern Recognition,Pick-up and Deliver,Set Collection",1995,2,4,10,129,4.11589,5.37304,11,1
10323,Saga,"Card Game,Fantasy","Hand Management,Set Collection",2003,3,6,60,130,6.60762,5.59573,9,1.7778
10325,"Marry, Date or Dump?",Party Game,Role Playing,2003,2,2,30,57,4.51228,5.46163,4,1.25
10326,Woods & Water,"Animals,Sports","Card Drafting,Roll / Spin and Move",1995,2,4,60,43,6.43349,5.51318,4,1.25
10341,Disney Charades Game,"Children's Game,Deduction,Movies / TV / Radio theme,Party Game","Acting,Partnerships",1999,4,99,45,52,5.68462,5.49874,3,1.3333
10345,Safari Round Up,"Abstract Strategy,Animals","Area Enclosure,Area Movement",1973,2,4,10,37,4.95946,5.48693,4,1.25
10346,Inchon: MacArthur's Gambit,"Korean War,Wargame",Hex-and-Counter,1991,2,2,120,78,6.74615,5.56273,9,3
10348,Second Front Now!,"Wargame,World War II",Hex-and-Counter,1997,1,2,240,34,6.42647,5.51423,6,2.8333
10355,Fore: The Golf Game,Sports,"Dice Rolling,Point to Point Movement,Simulation",1987,2,4,90,61,4.32182,5.44874,3,2
10361,Dead of Winter (first edition),"American Civil War,Wargame",Hex-and-Counter,1989,2,2,360,42,6.97024,5.54114,7,4.4286
10376,Ring of Fire,"Wargame,World War II","Dice Rolling,Hex-and-Counter",1994,1,2,600,75,7.48867,5.59629,12,3.1667
10383,Risk: Godstorm,"Dice,Mythology,Wargame","Area Control / Area Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling",2004,2,5,120,2363,6.27086,5.90253,217,2.682
10400,Patience,Card Game,Pattern Building,1783,1,1,10,318,4.7855,5.35936,41,1.2683
10414,Poppa's Pizza Topple,"Action / Dexterity,Children's Game",Dice Rolling,1999,2,4,10,45,4.69667,5.46984,8,1.125
10419,Adversity,"Economic,Humor,Party Game,Word Game",Voting,2003,3,6,30,44,4.96364,5.47798,2,2
10431,Epic Armageddon,"Fantasy,Fighting,Miniatures,Science Fiction","Dice Rolling,Modular Board,Variable Player Powers",2003,2,8,120,264,7.57363,5.79262,41,3.122
10445,Duel Masters Trading Card Game,"Card Game,Collectible Components,Fantasy,Fighting,Movies / TV / Radio theme,Science Fiction","Hand Management,Variable Player Powers",2004,2,4,30,204,6.21677,5.57187,16,1.9375
10450,Clue Jr.: Case of The Missing Pet,"Children's Game,Murder/Mystery","Paper-and-Pencil,Roll / Spin and Move,Storytelling",1989,1,6,20,62,4.59032,5.45549,4,1.25
10459,Tilt'n Tumble,"Abstract Strategy,Action / Dexterity","Pick-up and Deliver,Roll / Spin and Move,Tile Placement",1997,2,2,10,31,5.43548,5.49738,2,1
10467,Renegade Legion: Leviathan,"Science Fiction,Wargame",Hex-and-Counter,1989,2,2,90,149,6.31723,5.56634,11,3.0909
10470,March to Victory: West Front 1914-1916,"Wargame,World War I",Hex-and-Counter,1997,2,2,360,45,7.16111,5.53635,12,4.25
10471,The Franco-Prussian War,Wargame,"Dice Rolling,Hex-and-Counter",1972,2,2,360,58,5.83966,5.51009,13,2.3846
10472,The East is Red: The Sino Soviet War,"Modern Warfare,Wargame",Hex-and-Counter,1974,2,2,360,110,5.81636,5.5109,19,2.6316
10496,Camelot Legends,"Adventure,Card Game,Medieval","Action Point Allowance System,Hand Management",2004,2,4,60,1183,6.11143,5.7503,137,2.3358
10501,Canvas Eagles,"Aviation / Flight,Miniatures,Print & Play,Wargame,World War I","Hex-and-Counter,Simulation,Simultaneous Action Selection",1999,2,20,45,175,7.7853,5.73413,26,2.4231
10502,Poker Dice,Dice,"Betting/Wagering,Dice Rolling",0,2,12,10,446,4.99485,5.37194,51,1.2549
10506,Blue Marble,,Roll / Spin and Move,1982,2,4,90,74,4.5027,5.45326,8,1.375
10511,Gute Freunde,"Animals,Children's Game,Math,Racing","Modular Board,Point to Point Movement",1988,2,4,20,39,5,5.48548,1,1
10518,I Spy Memory Game,"Children's Game,Memory",Memory,1995,1,6,10,62,4.93371,5.47524,6,1
10520,Tyrus,"Bluffing,Political","Rock-Paper-Scissors,Secret Unit Deployment",2004,2,2,30,355,6.00222,5.60169,33,1.8485
10523,Victory & Honor,"American Civil War,Card Game","Hand Management,Trick-taking",2004,4,4,30,267,6.42072,5.65318,30,2.0333
10525,Football Champions,"Card Game,Collectible Components,Sports","Area Movement,Hand Management,Simulation",2001,2,2,75,74,6.94392,5.48912,4,1.75
10527,Gyges,Abstract Strategy,Grid Movement,1985,2,2,15,309,6.8363,5.73026,19,2.5789
